sample_id,cer,prediction,ground_truth,num_tokens,mean_gradcam_gini,mean_attention_gini,mean_loss
0,0.17647058823529413,contar no 'l porrea.,contar nol porea.,10,0.6523418159906746,0.4395106130494527,20.33291359497222
1,0.15625,Potrebbe la ver permança e tut,Potrebbe t'aver per amança e tut,15,0.6783105385953635,0.41230452441405113,17.706101838006482
2,0.0967741935483871,t'asentir delectança chi benti,ta sentir delectança chi ben ti,13,0.6834307864495428,0.4115517975253784,22.04156736545946
3,0.03125,portasse li ança nel cuor sì come,portasse liança nel cuor sì come,16,0.7045567330813949,0.40537601977290705,22.381390390912486
4,0.2857142857142857,d'ourea.,dovrea.,7,0.6870731260659753,0.4745332956882614,16.577917473639836
5,0.06896551724137931,Doverebbe ciascun rifrutare per,Dovrebbe ciascun rifrutareper,17,0.6714400982749379,0.4415512850692905,20.107365573033455
6,0.03333333333333333,te tutto 'l mondo d'amare ete,te tutto 'l mondo d'amare e te,16,0.7480377762424133,0.43073635070340366,20.091947466102944
7,0.037037037037037035,dolçe madre laudare col' più,dolçe madre laudare col più,15,0.650153795663595,0.4006035423741464,21.637282124906747
8,0.0,dolçe filiol che sia.,dolçe filiol che sia.,13,0.7181785309098416,0.39925582563464634,20.995381950139947
9,0.04,Siate a piacere gloriosa,Sia te a piacere gloriosa,13,0.7210739507284202,0.39137095893861107,20.365202060096635
10,0.0,ki canta tua lauda amorosa,ki canta tua lauda amorosa,13,0.7229650368880033,0.4484297223028793,21.525834945526395
11,0.038461538461538464,de farli la mente studiosa.,de farli la mente studiosa,11,0.7143715456035884,0.4462244908246726,22.26276669716041
12,0.04,ke laudi ben nocte e dia,ke laudi ben nocte e dia.,14,0.7254350266528136,0.4075509121219053,22.68537555782976
13,0.0,Diana stella lucente letitia de,Diana stella lucente letitia de,14,0.6549330692304837,0.47110315967544086,21.95327105661634
14,0.0,tutta la gente tutto 'l mondo,tutta la gente tutto 'l mondo,15,0.6823035242538148,0.44799994196363213,21.103868268360294
15,0.03125,e perdente sença la tua vigoria.,è perdente sença la tua vigoria.,15,0.666891554510858,0.45749378488189446,21.068050444498535
16,0.03225806451612903,Vigorosa potente beata per te e,Vigorosa potente beata per te è,14,0.6700514796776773,0.45363273192070924,20.785366346230123
17,0.13333333333333333,questa laude cantata tu sia,questa laude cantata tu se' la,13,0.6751449839197247,0.4419752450403736,19.020800278021607
18,0.0,nostra avocata la più fedel,nostra avocata la più fedel,15,0.6754576842244596,0.429836031325933,22.93776717979014
19,0.0,ke mai sia.,ke mai sia.,9,0.6822529468561607,0.4052648463571416,20.364661793139174
20,0.12,I Aude novella sia cantata,Laude novella sia cantata,12,0.7223861417101531,0.4532824331215208,20.086802204437976
21,0.041666666666666664,ke tanto è cortesissima.,ké tanto è cortesissima.,14,0.6927717190573244,0.4201270759917174,17.97152366801544
22,0.0625,Io masso questo te ne porta colli,Tomasso questo te ne porta colli,13,0.6973997698883247,0.44477738975581743,22.31362128010138
23,0.18421052631578946,apli ti confortadi k'io so viva,apostoli ti conforta di' k'io so' viva,19,0.7466999565920044,0.40649126148556963,19.715271604527036
