+ACI-sample+AF8-id+ACI-,+ACI-cer+ACI-,+ACI-prediction+ACI-,+ACI-ground+AF8-truth+ACI-,+ACI-num+AF8-tokens+ACI-,+ACI-mean+AF8-gradcam+AF8-gini+ACI-,+ACI-mean+AF8-attention+AF8-gini+ACI-,+ACI-mean+AF8-loss+ACI-
0,0.212121212121212,+ACI-viden ke nal mondo enganati. //+ACI-,+ACI-viden ke n'+//3//Q- 'l mondo engannati /+ACI-,18,0.704863798358805,0.551412076830225,10.4289792759551
1,0.125,+ACI-defendrone / la tua gran bailia. //+ACI-,+ACI-defendane la tua gran bailia. //+ACI-,14,0.656415904412518,0.527885614954512,10.7894124787833
2,0.0740740740740741,+ACI- bailia ne dona e potentia /+ACI-,+ACI-Bailia ne dona e potentia /+ACI-,13,0.705317351443816,0.536197915281995,11.1595823403734
3,0.148148148148148,+ACI-o madre / de far penitentia. //+ACI-,+ACI-o madre de far penitentia /+ACI-,12,0.678291957946333,0.528101482649091,11.0023288882027
4,0.107142857142857,+ACI-volemo a te fare obedientia. //+ACI-,+ACI-volemo a te fare obedentia /+ACI-,14,0.704572029560498,0.558122606806573,11.9904348424503
5,0,+ACI-e stare a la tua signoria. //+ACI-,+ACI-e stare a la tua signoria. //+ACI-,13,0.730341433007335,0.53261042048114,10.7438995752197
6,0.241379310344828,+ACI-Signoria k' a frinchi lo core / non+ACI-,+ACI-Signoria k'afranchi lo core /+ACI-,13,0.684296726310348,0.514337363909147,11.3030729242242
7,0.125,+ACI-e la tua madre d'amore. //+ACI-,+ACI-+//3//Q- la tua madre d'amore /+ACI-,14,0.668402291132844,0.576705259928336,11.0547566174396
8,0,+ACI-se 'l sapesse lo peccatore / a te+ACI-,+ACI-se 'l sapesse lo peccatore / a te+ACI-,17,0.705104823700079,0.514242326374177,11.0963067145032
9,0.1,+ACI-donna retornana. //+ACI-,+ACI-donna retornaria. //+ACI-,10,0.728613579358161,0.587015065030413,8.67653424739838
10,0.0357142857142857,+ACI-Regorni a tua gran fidan+//3//Q-a /+ACI-,+ACI-Retorni a tua gran fidan+//3//Q-a /+ACI-,14,0.706996103663675,0.541415927099197,11.0795292236975
11,0.0740740740740741,+ACI-l'omo cun grande speran+//3//Q-a. //+ACI-,+ACI-l'omo cun grande speran+//3//Q-a /+ACI-,15,0.712843392108627,0.583791572782287,10.9943172618747
12,0.0645161290322581,+ACI-ke tu li farai per donan+//3//Q-a / pi+//3//Q-+ACI-,+ACI-k+//3//Q- tu li farai perdonan+//3//Q-a / pi+//3//Q-+ACI-,17,0.707539925569597,0.49988164752222,11.1350186195444
13,0.111111111111111,+ACI-k' adomandar non sapena. //+ACI-,+ACI-k'adomandar non saperia. //+ACI-,14,0.690723317354497,0.536096862297704,10.8730358156775
14,0.0909090909090909,+ACI-Sapesse la gente cristiana / ke+ACI-,+ACI-Sapesse la gente cristiana / k' +//3//Q-+ACI-,17,0.710245211101777,0.545991724686871,10.8170001116746
15,0.0666666666666667,+ACI-sconoscente / e villana / gustar+ACI-,+ACI-sconoscente e villana / gustar+ACI-,14,0.738478832006391,0.524457011500993,10.4382848457566
16,0,+ACI-de te dol+//3//Q-e fontana / d'amarte+ACI-,+ACI-de te dol+//3//Q-e fontana / d'amarte+ACI-,16,0.750245020492651,0.544846999203617,10.7754280129448
17,0,+ACI-pi+//3//Q- gran sete avarea. //+ACI-,+ACI-pi+//3//Q- gran sete avarea. //+ACI-,13,0.705569833869534,0.552275749596696,10.7405430909533
18,0,+ACI-Avente per nostra riche+//3//Q-a / volente+ACI-,+ACI-Avente per nostra riche+//3//Q-a / volente+ACI-,15,0.738872085385997,0.526005521389241,10.3568928142389
19,0,+ACI-sovrana belle+//3//Q-a / ki tua non sente+ACI-,+ACI-sovrana belle+//3//Q-a / ki tua non sente+ACI-,16,0.733711263148432,0.535945420663932,12.376954968553
20,0.285714285714286,+ACI-dolce+//3//Q-a / trope la sua vita ria+AC0-+ACI-,+ACI-dolce+//3//Q-a / tropp' +//3//Q- la sua sua vita ria. //+ACI-,24,0.684997158305265,0.543451539753874,11.2389657031745
21,0,+ACI-Ria vita dei peccatori / che non pen+AC0-+ACI-,+ACI-Ria vita dei peccatori / che non pen+AC0-+ACI-,18,0.724487825685508,0.537258927089753,10.9717756232454
22,0.0588235294117647,+ACI-sano ne +//3//Q-lli lor cori / de tanto ga+AC0-+ACI-,+ACI-sano nelli lor cori / de tanto ga+AC0-+ACI-,17,0.726540471905835,0.548172047329375,11.100784220678
23,0,+ACI-udio son fuori / ke lingua+ACI-,+ACI-udio son fuori / ke lingua+ACI-,12,0.714558624567659,0.526822706875858,10.715616705517
24,0.142857142857143,+ACI-sumpnale / en te virgo virginale. //+ACI-,+ACI-supernale / en te virgo virginale /+ACI-,14,0.65992082393614,0.536628518790164,11.3570203956749
25,0,+ACI-discese benignissima. //+ACI-,+ACI-discese benignissima. //+ACI-,11,0.663062992461324,0.546500276457133,10.2302852056243
26,0,+ACI-La nostra redemptione / prese encar+AC0-+ACI-,+ACI-La nostra redemptione / prese encar+AC0-+ACI-,14,0.716278246963417,0.536880392295915,11.4765568513955
27,0.121212121212121,+ACI-natione / ke sen+//3//Q-a corruptione. //+ACI-,+ACI-natione / k'+//3//Q- sen+//3//Q-a corruptione /+ACI-,14,0.716225762634876,0.493965926137454,10.6540264221174
28,0,+ACI-de te donna sanctissima. //+ACI-,+ACI-de te donna sanctissima. //+ACI-,12,0.734025593507638,0.557987085519799,9.49998642628392
29,0.032258064516129,+ACI-Stand' al mondo sen+//3//Q-a 'l mondo /+ACI-,+ACI-Stand'al mondo sen+//3//Q-a 'l mondo /+ACI-,15,0.756976927121155,0.576862391668911,10.3333864202102
30,0.0277777777777778,+ACI-tutto fo per te iocondo / lo superbo+ACI-,+ACI-tutto fo per te iocondo / lo superno+ACI-,16,0.712339937872037,0.524117880692106,9.92304248176515
31,0.17948717948718,+ACI-el profondo / electe suavissima. //+ACI-,+ACI-e 'l profondo / e l'aere suavissima. //+ACI-,20,0.694104229692301,0.563875950769953,11.1774866573513
32,0.323529411764706,+ACI-dinorare regina / genti li sima+ACI-,+ACI-dimorare / regina gentilissima. //+ACI-,15,0.665459969367428,0.540709127591014,10.5511899481217
33,0.0512820512820513,+ACI-Cognoscesti ben per certo / ke la scia+AC0-+ACI-,+ACI-Cosgnoscesti ben per certo / ke lascia+AC0-+ACI-,18,0.735269300646277,0.544387240269776,10.5455371410482
34,0,+ACI-vi lo deserto / su nel cielo k' era+ACI-,+ACI-vi lo deserto / su nel cielo k' era+ACI-,17,0.731757773976057,0.556858086300224,11.7273643669837
